array size,recursion limit,estimated time
20000,2,14585718
20000,4,15680466
20000,6,14118638
20000,8,14086842
20000,10,16718466
20000,12,9044759
20000,14,6375906
20000,16,12349733
20000,18,6582580
20000,20,9371574
20000,22,5445571
20000,24,5346560
20000,26,5868176
20000,28,7315096
20000,30,9342998
20000,32,7873941
20000,34,5452614
20000,36,6688432
20000,38,5072470
20000,40,5240708
20000,42,6249929
20000,44,5018739
20000,46,14713103
20000,48,4715872
20000,50,33460678
20000,52,7780565
20000,54,5124189
20000,56,4466535
20000,58,5290817
20000,60,18701289
20000,62,6455999
20000,64,5232457
20000,66,4330497
20000,68,4224644
20000,70,4731166
20000,72,4029441
20000,74,3934254
20000,76,4069890
20000,78,5902991
20000,80,12885839
20000,82,4666971
20000,84,3946731
20000,86,4108528
20000,88,4128853
20000,90,4027428
20000,92,3976917
20000,94,3931034
20000,96,4074518
20000,98,3841683
20000,100,2653357
20000,102,3890786
20000,104,4067475
20000,106,3854763
20000,108,3906684
20000,110,3853959
20000,112,2473448
20000,114,4076531
20000,116,3530364
20000,118,6218938
20000,120,3873077
20000,122,3930631
20000,124,2490151
20000,126,3808680
20000,128,4096453
20000,130,11372912
20000,132,14706663
20000,134,11136454
20000,136,14415871
20000,138,13637070
20000,140,27286214
20000,142,16124001
20000,144,15037704
20000,146,17297435
20000,148,18286734
20000,150,10380996
20000,152,8860221
20000,154,6911809
20000,156,9433153
20000,158,6338878
20000,160,11784046
20000,162,19239809
20000,164,13255115
20000,166,5611192
20000,168,20158272
20000,170,1145662
20000,172,1547540
20000,174,1790035
20000,176,3218843
20000,178,1177458
20000,180,1610729
20000,182,1395200
20000,184,1263992
20000,186,1649368
20000,188,1298807
20000,190,1677542
20000,192,1445712
20000,194,1213481
20000,196,1143449
20000,198,1688610
20000,200,1295989
20000,202,1581147
20000,204,1473483
20000,206,1117690
20000,208,1024113
20000,210,1057519
20000,212,1011837
20000,214,1052086
20000,216,1012844
20000,218,1108433
20000,220,1127551
20000,222,1012844
20000,224,2112623
20000,226,1070398
20000,228,2659998
20000,230,1007812
20000,232,1086498
20000,234,1187923
20000,236,964143
20000,238,1008819
20000,240,1002983
20000,242,1029546
20000,244,1005398
20000,246,1041017
20000,248,1471270
20000,250,639542
20000,252,938988
20000,254,1038401
20000,256,997751
20000,258,992519
20000,260,1628238
20000,262,1158139
20000,264,1022503
20000,266,991311
20000,268,1414520
20000,270,1370851
20000,272,1030955
20000,274,1054702
20000,276,1048865
20000,278,986884
20000,280,1052891
20000,282,1030754
20000,284,1297397
20000,286,1072411
20000,288,1036188
20000,290,989299
20000,292,947843
20000,294,976620
20000,296,878415
20000,298,999159
27599,2,5586037
27599,4,1846986
27599,6,3094275
27599,8,3114198
27599,10,2873112
27599,12,3020018
27599,14,3063485
27599,16,2832059
27599,18,2410661
27599,20,1758641
27599,22,1504676
27599,24,1494212
27599,26,1535063
27599,28,1492803
27599,30,3408613
27599,32,1451749
27599,34,1397817
27599,36,3119632
27599,38,2379066
27599,40,2042390
27599,42,1596441
27599,44,1324565
27599,46,1376284
27599,48,1655807
27599,50,1316717
27599,52,1291763
27599,54,1699879
27599,56,1441687
27599,58,2108196
27599,60,2424547
27599,62,1490790
27599,64,1375479
27599,66,1676536
27599,68,3007339
27599,70,2070967
27599,72,2020254
27599,74,1963504
27599,76,2817771
27599,78,1426595
27599,80,1165585
27599,82,1470264
27599,84,1371656
27599,86,3101721
27599,88,1298404
27599,90,1145864
27599,92,1141638
27599,94,1404659
27599,96,1905547
27599,98,1851011
27599,100,1478917
27599,102,1106823
27599,104,1094548
27599,106,1091730
27599,108,1089315
27599,110,1126343
27599,112,1099981
27599,114,1089315
27599,116,1102798
27599,118,1145059
27599,120,1128960
27599,122,1159951
27599,124,1084888
27599,126,1082473
27599,128,1108634
27599,130,1075832
27599,132,1066977
27599,134,1057922
27599,136,1046250
27599,138,1057721
27599,140,1028541
27599,142,1021094
27599,144,1018680
27599,146,1017875
27599,148,1086095
27599,150,1017674
27599,152,1015258
27599,154,1014453
27599,156,1014453
27599,158,997348
27599,160,940598
27599,162,939793
27599,164,939189
27599,166,937781
27599,168,996745
27599,170,946032
27599,172,937379
27599,174,934360
27599,176,933555
27599,178,932951
27599,180,1033370
27599,182,1107226
27599,184,975815
27599,186,935366
27599,188,933354
27599,190,976822
27599,192,942812
27599,194,968571
27599,196,966760
27599,198,911016
27599,200,936976
27599,202,894112
27599,204,1012844
27599,206,954283
27599,208,941604
27599,210,860706
27599,212,943214
27599,214,907595
27599,216,976017
27599,218,933152
27599,220,920072
27599,222,917858
27599,224,917657
27599,226,917456
27599,228,923090
27599,230,848631
27599,232,846820
27599,234,846619
27599,236,847223
27599,238,846216
27599,240,1016265
27599,242,848631
27599,244,847223
27599,246,846217
27599,248,847021
27599,250,844003
27599,252,879019
27599,254,848833
27599,256,839576
27599,258,844405
27599,260,836959
27599,262,834544
27599,264,955490
27599,266,1265199
27599,268,888678
27599,270,838368
27599,272,805566
27599,274,791479
27599,276,872579
27599,278,837966
27599,280,777996
27599,282,759281
27599,284,755256
27599,286,747005
27599,288,828306
27599,290,947239
27599,292,827903
27599,294,803352
27599,296,809389
27599,298,816634
38086,2,6187343
38086,4,2862849
38086,6,2614317
38086,8,2547706
38086,10,2267176
38086,12,2128119
38086,14,2089280
38086,16,2088676
38086,18,2176417
38086,20,2080828
38086,22,2179435
38086,24,2141401
38086,26,1900114
38086,28,1951832
38086,30,2143212
38086,32,2008582
38086,34,2068954
38086,36,2012808
38086,38,2025688
38086,40,2881564
38086,42,2007174
38086,44,2271201
38086,46,2705076
38086,48,2947370
38086,50,2720974
38086,52,1858859
38086,54,2169977
38086,56,2530801
38086,58,1801103
38086,60,2004558
38086,62,2983593
38086,64,2152268
38086,66,1940563
38086,68,1885020
38086,70,1940362
38086,72,2535229
38086,74,1885624
38086,76,1819215
38086,78,1873147
38086,80,2102964
38086,82,2574672
38086,84,2676298
38086,86,2376047
38086,88,1898705
38086,90,1909773
38086,92,1759446
38086,94,1812574
38086,96,2167160
38086,98,1648764
38086,100,1962297
38086,102,2354717
38086,104,1697464
38086,106,2329360
38086,108,2595198
38086,110,1980811
38086,112,1603887
38086,114,1813982
38086,116,1933922
38086,118,1650575
38086,120,1583763
38086,122,1614956
38086,124,1633470
38086,126,2072174
38086,128,2701051
38086,130,2204188
38086,132,1573500
38086,134,1572091
38086,136,1464629
38086,138,1433638
38086,140,1498437
38086,142,1416935
38086,144,1423777
38086,146,1500651
38086,148,1387755
38086,150,1437663
38086,152,1488577
38086,154,1481131
38086,156,1480929
38086,158,1448731
38086,160,1368033
38086,162,1366625
38086,164,1366021
38086,166,1460000
38086,168,1413312
38086,170,1366423
38086,172,1415123
38086,174,1492400
38086,176,1377290
38086,178,1359581
38086,180,1513530
38086,182,1454567
38086,184,1342476
38086,186,1331810
38086,188,1352336
38086,190,1311887
38086,192,1303838
38086,194,1295788
38086,196,1309472
38086,198,1287537
38086,200,1284116
38086,202,1282104
38086,204,1495419
38086,206,1405464
38086,208,1367832
38086,210,1281902
38086,212,1280695
38086,214,1467647
38086,216,1394597
38086,218,1308063
38086,220,1322754
38086,222,1347306
38086,224,1355758
38086,226,1278079
38086,228,1310881
38086,230,1279286
38086,232,1283110
38086,234,1280695
38086,236,1541100
38086,238,1355757
38086,240,1290958
38086,242,1274255
38086,244,1307057
38086,246,1277878
38086,248,1282104
38086,250,1275060
38086,252,1324364
38086,254,1278079
38086,256,1277877
38086,258,1273249
38086,260,1395402
38086,262,1383126
38086,264,1381718
38086,266,1376687
38086,268,1459598
38086,270,1366423
38086,272,1361393
38086,274,1352739
38086,276,1379906
38086,278,1337847
38086,280,1378699
38086,282,1385541
38086,284,1251918
38086,286,1191344
38086,288,1179068
38086,290,1180880
38086,292,1272243
38086,294,1220122
38086,296,1156932
38086,298,1162768
52558,2,6704733
52558,4,3486292
52558,6,3448660
52558,8,3197713
52558,10,3155452
52558,12,4210557
52558,14,3288070
